No,Category,Guideline,指导方针,Description,描述,Do,推荐做法,Don't,不推荐做法,Code Good,良好代码,Code Bad,不良代码,Severity,Docs URL
1,路由 | Routing,Use file-based routing,使用基于文件的路由,Create routes by adding files in pages directory,通过在 pages 目录添加文件创建路由,pages/ directory with index.vue,使用 pages/ 目录和 index.vue,Manual route configuration,手动路由配置,pages/dashboard/index.vue,pages/dashboard/index.vue,Custom router setup,自定义路由设置,中等 | Medium,https://nuxt.com/docs/getting-started/routing
2,路由 | Routing,Use dynamic route parameters,使用动态路由参数,Create dynamic routes with bracket syntax,使用方括号语法创建动态路由,[id].vue for dynamic params,动态参数使用 [id].vue,Hardcoded routes for dynamic content,动态内容使用硬编码路由,pages/posts/[id].vue,pages/posts/[id].vue,pages/posts/post1.vue,pages/posts/post1.vue,中等 | Medium,https://nuxt.com/docs/getting-started/routing
3,路由 | Routing,Use catch-all routes,使用捕获所有路由,Handle multiple path segments with [...slug],使用 [...slug] 处理多个路径段,[...slug].vue for catch-all,捕获所有路由使用 [...slug].vue,Multiple nested dynamic routes,多个嵌套动态路由,pages/[...slug].vue,pages/[...slug].vue,pages/[a]/[b]/[c].vue,pages/[a]/[b]/[c].vue,低 | Low,https://nuxt.com/docs/getting-started/routing
4,路由 | Routing,Define page metadata with definePageMeta,使用 definePageMeta 定义页面元数据,Set page-level configuration and middleware,设置页面级配置和中间件,definePageMeta for layout middleware title,使用 definePageMeta 设置布局、中间件、标题,Manual route meta configuration,手动路由元数据配置,"definePageMeta({ layout: 'admin', middleware: 'auth' })","definePageMeta({ layout: 'admin', middleware: 'auth' })",router.beforeEach for page config,使用 router.beforeEach 设置页面配置,高 | High,https://nuxt.com/docs/api/utils/define-page-meta
5,路由 | Routing,Use validate for route params,使用 validate 验证路由参数,Validate dynamic route parameters before rendering,渲染前验证动态路由参数,validate function in definePageMeta,在 definePageMeta 中使用 validate 函数,Manual validation in setup,在 setup 中手动验证,"definePageMeta({ validate: (route) => /^\d+$/.test(route.params.id) })","definePageMeta({ validate: (route) => /^\d+$/.test(route.params.id) })",if (!valid) navigateTo('/404'),if (!valid) navigateTo('/404'),中等 | Medium,https://nuxt.com/docs/api/utils/define-page-meta
6,渲染 | Rendering,Use SSR by default,默认使用 SSR,Server-side rendering is enabled by default,服务端渲染默认启用,Keep ssr: true (default),保持 ssr: true (默认),Disable SSR unnecessarily,不必要地禁用 SSR,ssr: true (default),ssr: true (默认),ssr: false for all pages,所有页面使用 ssr: false,高 | High,https://nuxt.com/docs/guide/concepts/rendering
7,渲染 | Rendering,Use .client suffix for client-only components,客户端组件使用 .client 后缀,Mark components to render only on client,标记仅在客户端渲染的组件,ComponentName.client.vue suffix,使用 ComponentName.client.vue 后缀,v-if with process.client check,使用 v-if 和 process.client 检查,Comments.client.vue,Comments.client.vue,<div v-if="process.client"><Comments/></div>,<div v-if="process.client"><Comments/></div>,中等 | Medium,https://nuxt.com/docs/guide/directory-structure/components
8,渲染 | Rendering,Use .server suffix for server-only components,服务端组件使用 .server 后缀,Mark components to render only on server,标记仅在服务端渲染的组件,ComponentName.server.vue suffix,使用 ComponentName.server.vue 后缀,Manual server check,手动服务端检查,HeavyMarkdown.server.vue,HeavyMarkdown.server.vue,v-if="process.server",v-if="process.server",低 | Low,https://nuxt.com/docs/guide/directory-structure/components
9,数据获取 | DataFetching,Use useFetch for simple data fetching,简单数据获取使用 useFetch,Wrapper around useAsyncData for URL fetching,useAsyncData 的 URL 请求包装器,useFetch for API calls,API 调用使用 useFetch,$fetch in onMounted,在 onMounted 中使用 $fetch,"const { data } = await useFetch('/api/posts')","const { data } = await useFetch('/api/posts')","onMounted(async () => { data.value = await $fetch('/api/posts') })","onMounted(async () => { data.value = await $fetch('/api/posts') })",高 | High,https://nuxt.com/docs/api/composables/use-fetch
10,数据获取 | DataFetching,Use useAsyncData for complex fetching,复杂获取使用 useAsyncData,Fine-grained control over async data,对异步数据的精细控制,useAsyncData for CMS or custom fetching,CMS 或自定义获取使用 useAsyncData,useFetch for non-URL data sources,非 URL 数据源使用 useFetch,"const { data } = await useAsyncData('posts', () => cms.getPosts())","const { data } = await useAsyncData('posts', () => cms.getPosts())","const { data } = await useFetch(() => cms.getPosts())","const { data } = await useFetch(() => cms.getPosts())",中等 | Medium,https://nuxt.com/docs/api/composables/use-async-data
11,数据获取 | DataFetching,Use $fetch for non-reactive requests,非响应式请求使用 $fetch,$fetch for event handlers and non-component code,事件处理器和非组件代码使用 $fetch,$fetch in event handlers or server routes,事件处理器或服务端路由使用 $fetch,useFetch in click handlers,点击处理器使用 useFetch,"async function submit() { await $fetch('/api/submit', { method: 'POST' }) }","async function submit() { await $fetch('/api/submit', { method: 'POST' }) }","async function submit() { await useFetch('/api/submit') }","async function submit() { await useFetch('/api/submit') }",高 | High,https://nuxt.com/docs/api/utils/dollarfetch
12,数据获取 | DataFetching,Use lazy option for non-blocking fetch,非阻塞获取使用 lazy 选项,Defer data fetching for better initial load,延迟数据获取以提高初始加载,lazy: true for below-fold content,折叠下方内容使用 lazy: true,Blocking fetch for non-critical data,非关键数据使用阻塞获取,"useFetch('/api/comments', { lazy: true })","useFetch('/api/comments', { lazy: true })",await useFetch('/api/comments') for footer,页脚使用 await useFetch('/api/comments'),中等 | Medium,https://nuxt.com/docs/api/composables/use-fetch
13,数据获取 | DataFetching,Use server option to control fetch location,使用 server 选项控制获取位置,Choose where data is fetched,选择数据获取位置,server: false for client-only data,仅客户端数据使用 server: false,Server fetch for user-specific client data,用户特定客户端数据使用服务端获取,"useFetch('/api/user-preferences', { server: false })","useFetch('/api/user-preferences', { server: false })",useFetch for localStorage-dependent data,依赖 localStorage 的数据使用 useFetch,中等 | Medium,https://nuxt.com/docs/api/composables/use-fetch
14,数据获取 | DataFetching,Use pick to reduce payload size,使用 pick 减少载荷大小,Select only needed fields from response,仅选择响应中需要的字段,pick option for large responses,大响应使用 pick 选项,Fetching entire objects when few fields needed,仅需少数字段时获取整个对象,"useFetch('/api/user', { pick: ['id', 'name'] })","useFetch('/api/user', { pick: ['id', 'name'] })",useFetch('/api/user') then destructure,useFetch('/api/user') 然后解构,低 | Low,https://nuxt.com/docs/api/composables/use-fetch
15,数据获取 | DataFetching,Use transform for data manipulation,使用 transform 进行数据处理,Transform data before storing in state,存储到状态前转换数据,transform option for data shaping,数据塑形使用 transform 选项,Manual transformation after fetch,获取后手动转换,"useFetch('/api/posts', { transform: (posts) => posts.map(p => p.title) })","useFetch('/api/posts', { transform: (posts) => posts.map(p => p.title) })",const titles = data.value.map(p => p.title),const titles = data.value.map(p => p.title),低 | Low,https://nuxt.com/docs/api/composables/use-fetch
16,数据获取 | DataFetching,Handle loading and error states,处理加载和错误状态,Always handle pending and error states,始终处理 pending 和 error 状态,Check status pending error refs,检查 status、pending、error refs,Ignoring loading states,忽略加载状态,"<div v-if=""status === 'pending'"">Loading...</div>","<div v-if=""status === 'pending'"">Loading...</div>",No loading indicator,无加载指示器,高 | High,https://nuxt.com/docs/getting-started/data-fetching
17,生命周期 | Lifecycle,Avoid side effects in script setup root,避免在 script setup 根作用域中的副作用,Move side effects to lifecycle hooks,将副作用移至生命周期钩子,Side effects in onMounted,副作用放在 onMounted 中,setInterval in root script setup,在根 script setup 中使用 setInterval,"onMounted(() => { interval = setInterval(...) })","onMounted(() => { interval = setInterval(...) })","<script setup>setInterval(...)</script>","<script setup>setInterval(...)</script>",高 | High,https://nuxt.com/docs/guide/concepts/nuxt-lifecycle
18,生命周期 | Lifecycle,Use onMounted for DOM access,DOM 访问使用 onMounted,Access DOM only after component is mounted,仅在组件挂载后访问 DOM,onMounted for DOM manipulation,DOM 操作使用 onMounted,Direct DOM access in setup,在 setup 中直接访问 DOM,"onMounted(() => { document.getElementById('el') })","onMounted(() => { document.getElementById('el') })","<script setup>document.getElementById('el')</script>","<script setup>document.getElementById('el')</script>",高 | High,https://nuxt.com/docs/api/composables/on-mounted
19,生命周期 | Lifecycle,Use nextTick for post-render access,渲染后访问使用 nextTick,Wait for DOM updates before accessing elements,访问元素前等待 DOM 更新,await nextTick() after state changes,状态更改后使用 await nextTick(),Immediate DOM access after state change,状态更改后立即访问 DOM,"count.value++; await nextTick(); el.value.focus()","count.value++; await nextTick(); el.value.focus()","count.value++; el.value.focus()","count.value++; el.value.focus()",中等 | Medium,https://nuxt.com/docs/api/utils/next-tick
20,生命周期 | Lifecycle,Use onPrehydrate for pre-hydration logic,水合前逻辑使用 onPrehydrate,Run code before Nuxt hydrates the page,在 Nuxt 水合页面前运行代码,onPrehydrate for client setup,客户端设置使用 onPrehydrate,onMounted for hydration-critical code,水合关键代码使用 onMounted,"onPrehydrate(() => { console.log(window) })","onPrehydrate(() => { console.log(window) })",onMounted for pre-hydration needs,预水合需求使用 onMounted,低 | Low,https://nuxt.com/docs/api/composables/on-prehydrate
21,服务端 | Server,Use server/api for API routes,API 路由使用 server/api,Create API endpoints in server/api directory,在 server/api 目录创建 API 端点,server/api/users.ts for /api/users,/api/users 使用 server/api/users.ts,Manual Express setup,手动 Express 设置,server/api/hello.ts -> /api/hello,server/api/hello.ts -> /api/hello,app.get('/api/hello'),app.get('/api/hello'),高 | High,https://nuxt.com/docs/guide/directory-structure/server
22,服务端 | Server,Use defineEventHandler for handlers,处理器使用 defineEventHandler,Define server route handlers,定义服务端路由处理器,defineEventHandler for all handlers,所有处理器使用 defineEventHandler,export default function,导出默认函数,"export default defineEventHandler((event) => { return { hello: 'world' } })","export default defineEventHandler((event) => { return { hello: 'world' } })","export default function(req, res) {}","export default function(req, res) {}",高 | High,https://nuxt.com/docs/guide/directory-structure/server
23,服务端 | Server,Use server/routes for non-api routes,非 api 路由使用 server/routes,Routes without /api prefix,不带 /api 前缀的路由,server/routes for custom paths,自定义路径使用 server/routes,server/api for non-api routes,非 api 路由使用 server/api,server/routes/sitemap.xml.ts,server/routes/sitemap.xml.ts,server/api/sitemap.xml.ts,server/api/sitemap.xml.ts,中等 | Medium,https://nuxt.com/docs/guide/directory-structure/server
24,服务端 | Server,Use getQuery and readBody for input,输入处理使用 getQuery 和 readBody,Access query params and request body,访问查询参数和请求体,getQuery(event) readBody(event),使用 getQuery(event) readBody(event),Direct event access,直接访问 event,"const { id } = getQuery(event)","const { id } = getQuery(event)",event.node.req.query,event.node.req.query,中等 | Medium,https://nuxt.com/docs/guide/directory-structure/server
25,服务端 | Server,Validate server input,验证服务端输入,Always validate input in server handlers,始终在服务端处理器中验证输入,Zod or similar for validation,使用 Zod 或类似工具验证,Trust client input,信任客户端输入,"const body = await readBody(event); schema.parse(body)","const body = await readBody(event); schema.parse(body)",const body = await readBody(event),const body = await readBody(event),高 | High,https://nuxt.com/docs/guide/directory-structure/server
26,状态 | State,Use useState for shared reactive state,共享响应式状态使用 useState,SSR-friendly shared state across components,组件间 SSR 友好的共享状态,useState for cross-component state,跨组件状态使用 useState,ref for shared state,共享状态使用 ref,"const count = useState('count', () => 0)","const count = useState('count', () => 0)",const count = ref(0) in composable,可组合函数中使用 const count = ref(0),高 | High,https://nuxt.com/docs/api/composables/use-state
27,状态 | State,Use unique keys for useState,useState 使用唯一键,Prevent state conflicts with unique keys,使用唯一键防止状态冲突,Descriptive unique keys for each state,每个状态使用描述性唯一键,Generic or duplicate keys,通用或重复键,"useState('user-preferences', () => ({}))","useState('user-preferences', () => ({}))",useState('data') in multiple places,多处使用 useState('data'),中等 | Medium,https://nuxt.com/docs/api/composables/use-state
28,状态 | State,Use Pinia for complex state,复杂状态使用 Pinia,Pinia for advanced state management,高级状态管理使用 Pinia,@pinia/nuxt for complex apps,复杂应用使用 @pinia/nuxt,Custom state management,自定义状态管理,useMainStore() with Pinia,Pinia 使用 useMainStore(),Custom reactive store implementation,自定义响应式 store 实现,中等 | Medium,https://nuxt.com/docs/getting-started/state-management
29,状态 | State,Use callOnce for one-time async operations,一次性异步操作使用 callOnce,Ensure async operations run only once,确保异步操作仅运行一次,callOnce for store initialization,store 初始化使用 callOnce,Direct await in component,组件中直接 await,await callOnce(store.fetch),await callOnce(store.fetch),await store.fetch() on every render,每次渲染都 await store.fetch(),中等 | Medium,https://nuxt.com/docs/api/utils/call-once
30,SEO,Use useSeoMeta for SEO tags,SEO 标签使用 useSeoMeta,Type-safe SEO meta tag management,类型安全的 SEO 元标签管理,useSeoMeta for meta tags,元标签使用 useSeoMeta,useHead for simple meta,简单 meta 使用 useHead,"useSeoMeta({ title: 'Home', ogTitle: 'Home', description: '...' })","useSeoMeta({ title: 'Home', ogTitle: 'Home', description: '...' })","useHead({ meta: [{ name: 'description', content: '...' }] })","useHead({ meta: [{ name: 'description', content: '...' }] })",高 | High,https://nuxt.com/docs/api/composables/use-seo-meta
31,SEO,Use reactive values in useSeoMeta,useSeoMeta 中使用响应式值,Dynamic SEO tags with refs or getters,使用 refs 或 getters 动态 SEO 标签,Computed getters for dynamic values,动态值使用计算 getters,Static values for dynamic content,动态内容使用静态值,"useSeoMeta({ title: () => post.value.title })","useSeoMeta({ title: () => post.value.title })","useSeoMeta({ title: post.value.title })","useSeoMeta({ title: post.value.title })",中等 | Medium,https://nuxt.com/docs/api/composables/use-seo-meta
32,SEO,Use useHead for non-meta head elements,非 meta head 元素使用 useHead,Scripts styles links in head,head 中的脚本、样式、链接,useHead for scripts and links,脚本和链接使用 useHead,useSeoMeta for scripts,脚本使用 useSeoMeta,"useHead({ script: [{ src: '/analytics.js' }] })","useHead({ script: [{ src: '/analytics.js' }] })","useSeoMeta({ script: '...' })","useSeoMeta({ script: '...' })",中等 | Medium,https://nuxt.com/docs/api/composables/use-head
33,SEO,Include OpenGraph tags,包含 OpenGraph 标签,Add OG tags for social sharing,添加社交分享的 OG 标签,ogTitle ogDescription ogImage,使用 ogTitle ogDescription ogImage,Missing social preview,缺少社交预览,"useSeoMeta({ ogImage: '/og.png', twitterCard: 'summary_large_image' })","useSeoMeta({ ogImage: '/og.png', twitterCard: 'summary_large_image' })",No OG configuration,无 OG 配置,中等 | Medium,https://nuxt.com/docs/api/composables/use-seo-meta
34,中间件 | Middleware,Use defineNuxtRouteMiddleware,使用 defineNuxtRouteMiddleware,Define route middleware properly,正确定义路由中间件,defineNuxtRouteMiddleware wrapper,使用 defineNuxtRouteMiddleware 包装器,export default function,导出默认函数,"export default defineNuxtRouteMiddleware((to, from) => {})","export default defineNuxtRouteMiddleware((to, from) => {})","export default function(to, from) {}","export default function(to, from) {}",高 | High,https://nuxt.com/docs/guide/directory-structure/middleware
35,中间件 | Middleware,Use navigateTo for redirects,重定向使用 navigateTo,Redirect in middleware with navigateTo,中间件中使用 navigateTo 重定向,return navigateTo('/login'),返回 navigateTo('/login'),router.push in middleware,中间件中使用 router.push,"if (!auth) return navigateTo('/login')","if (!auth) return navigateTo('/login')","if (!auth) router.push('/login')","if (!auth) router.push('/login')",高 | High,https://nuxt.com/docs/api/utils/navigate-to
36,中间件 | Middleware,Reference middleware in definePageMeta,在 definePageMeta 中引用中间件,Apply middleware to specific pages,将中间件应用于特定页面,middleware array in definePageMeta,在 definePageMeta 中使用 middleware 数组,Global middleware for page-specific,页面特定使用全局中间件,definePageMeta({ middleware: ['auth'] }),definePageMeta({ middleware: ['auth'] }),Global auth check for one page,单页面全局认证检查,中等 | Medium,https://nuxt.com/docs/guide/directory-structure/middleware
37,中间件 | Middleware,Use .global suffix for global middleware,全局中间件使用 .global 后缀,Apply middleware to all routes,将中间件应用于所有路由,auth.global.ts for app-wide auth,应用全局认证使用 auth.global.ts,Manual middleware on every page,每个页面手动添加中间件,middleware/auth.global.ts,middleware/auth.global.ts,middleware: ['auth'] on every page,每个页面使用 middleware: ['auth'],中等 | Medium,https://nuxt.com/docs/guide/directory-structure/middleware
38,错误处理 | ErrorHandling,Use createError for errors,错误使用 createError,Create errors with proper status codes,使用正确的状态码创建错误,createError with statusCode,使用 createError 和 statusCode,throw new Error,抛出 new Error,"throw createError({ statusCode: 404, statusMessage: 'Not Found' })","throw createError({ statusCode: 404, statusMessage: 'Not Found' })",throw new Error('Not Found'),throw new Error('Not Found'),高 | High,https://nuxt.com/docs/api/utils/create-error
39,错误处理 | ErrorHandling,Use NuxtErrorBoundary for local errors,局部错误使用 NuxtErrorBoundary,Handle errors within component subtree,在组件子树内处理错误,NuxtErrorBoundary for component errors,组件错误使用 NuxtErrorBoundary,Global error page for local errors,局部错误使用全局错误页,"<NuxtErrorBoundary @error=""log""><template #error=""{ error }""">","<NuxtErrorBoundary @error=""log""><template #error=""{ error }""">",error.vue for component errors,组件错误使用 error.vue,中等 | Medium,https://nuxt.com/docs/getting-started/error-handling
40,错误处理 | ErrorHandling,Use clearError to recover from errors,恢复错误使用 clearError,Clear error state and optionally redirect,清除错误状态并可选重定向,clearError({ redirect: '/' }),使用 clearError({ redirect: '/' }),Manual error state reset,手动重置错误状态,clearError({ redirect: '/home' }),clearError({ redirect: '/home' }),error.value = null,error.value = null,中等 | Medium,https://nuxt.com/docs/api/utils/clear-error
41,错误处理 | ErrorHandling,Use short statusMessage,使用简短的 statusMessage,Keep statusMessage brief for security,为安全保持 statusMessage 简短,Short generic messages,简短通用消息,Detailed error info in statusMessage,statusMessage 中详细的错误信息,"createError({ statusCode: 400, statusMessage: 'Bad Request' })","createError({ statusCode: 400, statusMessage: 'Bad Request' })","createError({ statusMessage: 'Invalid user ID: 123' })","createError({ statusMessage: 'Invalid user ID: 123' })",高 | High,https://nuxt.com/docs/getting-started/error-handling
42,链接 | Link,Use NuxtLink for internal navigation,内部导航使用 NuxtLink,Client-side navigation with prefetching,带预取的客户端导航,<NuxtLink to> for internal links,内部链接使用 <NuxtLink to>,<a href> for internal links,内部链接使用 <a href>,<NuxtLink to="/about">About</NuxtLink>,<NuxtLink to="/about">About</NuxtLink>,<a href="/about">About</a>,<a href="/about">About</a>,高 | High,https://nuxt.com/docs/api/components/nuxt-link
43,链接 | Link,Configure prefetch behavior,配置预取行为,Control when prefetching occurs,控制预取发生时机,prefetchOn for interaction-based,基于交互使用 prefetchOn,Default prefetch for low-priority,低优先级使用默认预取,"<NuxtLink prefetch-on=""interaction"">","<NuxtLink prefetch-on=""interaction"">",Always default prefetch,始终默认预取,低 | Low,https://nuxt.com/docs/api/components/nuxt-link
44,链接 | Link,Use useRouter for programmatic navigation,编程式导航使用 useRouter,Navigate programmatically,编程式导航,useRouter().push() for navigation,导航使用 useRouter().push(),Direct window.location,直接使用 window.location,"const router = useRouter(); router.push('/dashboard')","const router = useRouter(); router.push('/dashboard')",window.location.href = '/dashboard',window.location.href = '/dashboard',中等 | Medium,https://nuxt.com/docs/api/composables/use-router
45,链接 | Link,Use navigateTo in composables,可组合函数中使用 navigateTo,Navigate outside components,组件外导航,navigateTo() in middleware or plugins,中间件或插件中使用 navigateTo(),useRouter in non-component code,非组件代码使用 useRouter,return navigateTo('/login'),return navigateTo('/login'),router.push in middleware,中间件中使用 router.push,中等 | Medium,https://nuxt.com/docs/api/utils/navigate-to
46,自动导入 | AutoImports,Leverage auto-imports,利用自动导入,Use auto-imported composables directly,直接使用自动导入的可组合函数,Direct use of ref computed useFetch,直接使用 ref computed useFetch,Manual imports for Nuxt composables,手动导入 Nuxt 可组合函数,"const count = ref(0)","const count = ref(0)","import { ref } from 'vue'; const count = ref(0)","import { ref } from 'vue'; const count = ref(0)",中等 | Medium,https://nuxt.com/docs/guide/concepts/auto-imports
47,自动导入 | AutoImports,Use #imports for explicit imports,显式导入使用 #imports,Explicit imports when needed,需要时显式导入,#imports for clarity or disabled auto-imports,清晰性或禁用自动导入时使用 #imports,"import from 'vue' when auto-import enabled",启用自动导入时从 'vue' 导入,"import { ref } from '#imports'","import { ref } from '#imports'","import { ref } from 'vue'","import { ref } from 'vue'",低 | Low,https://nuxt.com/docs/guide/concepts/auto-imports
48,自动导入 | AutoImports,Configure third-party auto-imports,配置第三方自动导入,Add external package auto-imports,添加外部包自动导入,imports.presets in nuxt.config,在 nuxt.config 中使用 imports.presets,Manual imports everywhere,到处手动导入,"imports: { presets: [{ from: 'vue-i18n', imports: ['useI18n'] }] }","imports: { presets: [{ from: 'vue-i18n', imports: ['useI18n'] }] }",import { useI18n } everywhere,到处 import { useI18n },低 | Low,https://nuxt.com/docs/guide/concepts/auto-imports
49,插件 | Plugins,Use defineNuxtPlugin,使用 defineNuxtPlugin,Define plugins properly,正确定义插件,defineNuxtPlugin wrapper,使用 defineNuxtPlugin 包装器,export default function,导出默认函数,"export default defineNuxtPlugin((nuxtApp) => {})","export default defineNuxtPlugin((nuxtApp) => {})","export default function(ctx) {}","export default function(ctx) {}",高 | High,https://nuxt.com/docs/guide/directory-structure/plugins
50,插件 | Plugins,Use provide for injection,注入使用 provide,Provide helpers across app,跨应用提供辅助函数,return { provide: {} } for type safety,类型安全使用 return { provide: {} },nuxtApp.provide without types,无类型使用 nuxtApp.provide,"return { provide: { hello: (name) => `Hello ${name}!` } }","return { provide: { hello: (name) => `Hello ${name}!` } }","nuxtApp.provide('hello', fn)","nuxtApp.provide('hello', fn)",中等 | Medium,https://nuxt.com/docs/guide/directory-structure/plugins
51,插件 | Plugins,Use .client or .server suffix,使用 .client 或 .server 后缀,Control plugin execution environment,控制插件执行环境,plugin.client.ts for client-only,仅客户端使用 plugin.client.ts,if (process.client) checks,使用 if (process.client) 检查,analytics.client.ts,analytics.client.ts,"if (process.client) { // analytics }","if (process.client) { // analytics }",中等 | Medium,https://nuxt.com/docs/guide/directory-structure/plugins
52,环境 | Environment,Use runtimeConfig for env vars,环境变量使用 runtimeConfig,Access environment variables safely,安全访问环境变量,runtimeConfig in nuxt.config,在 nuxt.config 中使用 runtimeConfig,process.env directly,直接使用 process.env,"runtimeConfig: { apiSecret: '', public: { apiBase: '' } }","runtimeConfig: { apiSecret: '', public: { apiBase: '' } }",process.env.API_SECRET in components,组件中使用 process.env.API_SECRET,高 | High,https://nuxt.com/docs/guide/going-further/runtime-config
53,环境 | Environment,Use NUXT_ prefix for env override,环境覆盖使用 NUXT_ 前缀,Override config with environment variables,使用环境变量覆盖配置,NUXT_API_SECRET NUXT_PUBLIC_API_BASE,使用 NUXT_API_SECRET NUXT_PUBLIC_API_BASE,Custom env var names,自定义环境变量名,NUXT_PUBLIC_API_BASE=https://api.example.com,NUXT_PUBLIC_API_BASE=https://api.example.com,API_BASE=https://api.example.com,API_BASE=https://api.example.com,高 | High,https://nuxt.com/docs/guide/going-further/runtime-config
54,环境 | Environment,Access public config with useRuntimeConfig,访问公共配置使用 useRuntimeConfig,Get public config in components,在组件中获取公共配置,useRuntimeConfig().public,使用 useRuntimeConfig().public,Direct process.env access,直接访问 process.env,const config = useRuntimeConfig(); config.public.apiBase,const config = useRuntimeConfig(); config.public.apiBase,process.env.NUXT_PUBLIC_API_BASE,process.env.NUXT_PUBLIC_API_BASE,高 | High,https://nuxt.com/docs/api/composables/use-runtime-config
55,环境 | Environment,Keep secrets in private config,私有配置保存密钥,Server-only secrets in runtimeConfig root,runtimeConfig 根级别的服务端密钥,runtimeConfig.apiSecret (server only),runtimeConfig.apiSecret (仅服务端),Secrets in public config,公共配置中的密钥,runtimeConfig: { dbPassword: '' },runtimeConfig: { dbPassword: '' },"runtimeConfig: { public: { dbPassword: '' } }","runtimeConfig: { public: { dbPassword: '' } }",高 | High,https://nuxt.com/docs/guide/going-further/runtime-config
56,性能 | Performance,Use Lazy prefix for code splitting,代码分割使用 Lazy 前缀,Lazy load components with Lazy prefix,使用 Lazy 前缀懒加载组件,<LazyComponent> for below-fold,折叠下方使用 <LazyComponent>,Eager load all components,急切加载所有组件,<LazyMountainsList v-if="show"/>,<LazyMountainsList v-if="show"/>,<MountainsList/> for hidden content,隐藏内容使用 <MountainsList/>,中等 | Medium,https://nuxt.com/docs/guide/directory-structure/components
57,性能 | Performance,Use useLazyFetch for non-blocking data,非阻塞数据使用 useLazyFetch,Alias for useFetch with lazy: true,useFetch 的 lazy: true 别名,useLazyFetch for secondary data,二级数据使用 useLazyFetch,useFetch for all requests,所有请求使用 useFetch,"const { data } = useLazyFetch('/api/comments')","const { data } = useLazyFetch('/api/comments')",await useFetch for comments section,评论区使用 await useFetch,中等 | Medium,https://nuxt.com/docs/api/composables/use-lazy-fetch
58,性能 | Performance,Use lazy hydration for interactivity,交互使用懒水合,Delay component hydration until needed,延迟组件水合直到需要时,LazyComponent with hydration strategy,LazyComponent 使用水合策略,Immediate hydration for all,所有组件立即水合,<LazyModal hydrate-on-visible/>,<LazyModal hydrate-on-visible/>,<Modal/> in footer,页脚中的 <Modal/>,低 | Low,https://nuxt.com/docs/guide/going-further/experimental-features
