No,Category,Guideline,指导方针,Description,描述,Do,推荐做法,Don't,不推荐做法,Code Good,良好代码,Code Bad,不良代码,Severity,Docs URL
1,组合式 | Composition,Use Composition API for new projects,新项目使用组合式 API,Composition API offers better TypeScript support and logic reuse,组合式 API 提供更好的 TypeScript 支持和逻辑复用,<script setup> for components,组件使用 <script setup>,Options API for new projects,新项目使用选项式 API,<script setup>,<script setup>,export default { data() },export default { data() },中等 | Medium,https://vuejs.org/guide/extras/composition-api-faq.html
2,组合式 | Composition,Use script setup syntax,使用 script setup 语法,Cleaner syntax with automatic exports,更简洁的语法及自动导出,<script setup> with defineProps,<script setup> 配合 defineProps,setup() function manually,手动 setup() 函数,<script setup>,<script setup>,<script> setup() { return {} },<script> setup() { return {} },低 | Low,https://vuejs.org/api/sfc-script-setup.html
3,响应式 | Reactivity,Use ref for primitives,原始值使用 ref,ref() for primitive values that need reactivity,需要响应式的原始值使用 ref(),ref() for strings numbers booleans,字符串、数字、布尔值使用 ref(),reactive() for primitives,原始值使用 reactive(),const count = ref(0),const count = ref(0),const count = reactive(0),const count = reactive(0),中等 | Medium,https://vuejs.org/guide/essentials/reactivity-fundamentals.html
4,响应式 | Reactivity,Use reactive for objects,对象使用 reactive,reactive() for complex objects and arrays,复杂对象和数组使用 reactive(),reactive() for objects with multiple properties,多属性对象使用 reactive(),ref() for complex objects,复杂对象使用 ref(),const state = reactive({ user: null }),const state = reactive({ user: null }),const state = ref({ user: null }),const state = ref({ user: null }),中等 | Medium,
5,响应式 | Reactivity,Access ref values with .value,使用 .value 访问 ref 值,Remember .value in script unwrap in template,script 中使用 .value 模板中自动解包,Use .value in script,script 中使用 .value,Forget .value in script,script 中忘记 .value,count.value++,count.value++,count++ (in script),count++ (在 script 中),高 | High,
6,响应式 | Reactivity,Use computed for derived state,派生状态使用 computed,Computed properties cache and update automatically,计算属性自动缓存和更新,computed() for derived values,派生值使用 computed(),Methods for derived values,派生值使用方法,const doubled = computed(() => count.value * 2),const doubled = computed(() => count.value * 2),const doubled = () => count.value * 2,const doubled = () => count.value * 2,中等 | Medium,https://vuejs.org/guide/essentials/computed.html
7,响应式 | Reactivity,Use shallowRef for large objects,大对象使用 shallowRef,Avoid deep reactivity for performance,避免深层响应式以提高性能,shallowRef for large data structures,大数据结构使用 shallowRef,ref for large nested objects,大嵌套对象使用 ref,const bigData = shallowRef(largeObject),const bigData = shallowRef(largeObject),const bigData = ref(largeObject),const bigData = ref(largeObject),中等 | Medium,https://vuejs.org/api/reactivity-advanced.html#shallowref
8,侦听器 | Watchers,Use watchEffect for simple cases,简单情况使用 watchEffect,Auto-tracks dependencies,自动跟踪依赖,watchEffect for simple reactive effects,简单响应式副作用使用 watchEffect,watch with explicit deps when not needed,不需要时使用显式依赖的 watch,watchEffect(() => console.log(count.value)),watchEffect(() => console.log(count.value)),"watch(count, (val) => console.log(val))","watch(count, (val) => console.log(val))",低 | Low,https://vuejs.org/guide/essentials/watchers.html
9,侦听器 | Watchers,Use watch for specific sources,特定源使用 watch,Explicit control over what to watch,明确控制侦听内容,watch with specific refs,特定 refs 使用 watch,watchEffect for complex conditional logic,复杂条件逻辑使用 watchEffect,"watch(userId, fetchUser)","watch(userId, fetchUser)",watchEffect with conditionals,watchEffect 带条件,中等 | Medium,
10,侦听器 | Watchers,Clean up side effects,清理副作用,Return cleanup function in watchers,侦听器中返回清理函数,Return cleanup in watchEffect,watchEffect 中返回清理,Leave subscriptions open,留下订阅未关闭,watchEffect((onCleanup) => { onCleanup(unsub) }),watchEffect((onCleanup) => { onCleanup(unsub) }),watchEffect without cleanup,watchEffect 无清理,高 | High,
11,属性 | Props,Define props with defineProps,使用 defineProps 定义 props,Type-safe prop definitions,类型安全的 prop 定义,defineProps with TypeScript,defineProps 配合 TypeScript,Props without types,props 无类型,defineProps<{ msg: string }>(),defineProps<{ msg: string }>(),defineProps(['msg']),defineProps(['msg']),中等 | Medium,https://vuejs.org/guide/typescript/composition-api.html#typing-component-props
12,属性 | Props,Use withDefaults for default values,默认值使用 withDefaults,Provide defaults for optional props,可选 props 提供默认值,withDefaults with defineProps,withDefaults 配合 defineProps,Defaults in destructuring,解构中的默认值,"withDefaults(defineProps<Props>(), { count: 0 })","withDefaults(defineProps<Props>(), { count: 0 })",const { count = 0 } = defineProps(),const { count = 0 } = defineProps(),中等 | Medium,
13,属性 | Props,Avoid mutating props,避免修改 props,Props should be read-only,Props 应该是只读的,Emit events to parent for changes,变更时向父组件发出事件,Direct prop mutation,直接修改 prop,"emit('update:modelValue', newVal)","emit('update:modelValue', newVal)",props.modelValue = newVal,props.modelValue = newVal,高 | High,
14,事件 | Emits,Define emits with defineEmits,使用 defineEmits 定义事件,Type-safe event emissions,类型安全的事件发射,defineEmits with types,defineEmits 配合类型,Emit without definition,发射事件无定义,defineEmits<{ change: [id: number] }>(),defineEmits<{ change: [id: number] }>(),"emit('change', id) without define","emit('change', id) 无定义",中等 | Medium,https://vuejs.org/guide/typescript/composition-api.html#typing-component-emits
15,事件 | Emits,Use v-model for two-way binding,双向绑定使用 v-model,Simplified parent-child data flow,简化父子组件数据流,v-model with modelValue prop,v-model 配合 modelValue prop,:value + @input manually,手动 :value + @input,"<Child v-model=""value""/>","<Child v-model=""value""/>","<Child :value=""value"" @input=""value = $event""/>","<Child :value=""value"" @input=""value = $event""/>",低 | Low,https://vuejs.org/guide/components/v-model.html
16,生命周期 | Lifecycle,Use onMounted for DOM access,DOM 访问使用 onMounted,DOM is ready in onMounted,onMounted 中 DOM 已准备好,onMounted for DOM operations,DOM 操作使用 onMounted,Access DOM in setup directly,在 setup 中直接访问 DOM,onMounted(() => el.value.focus()),onMounted(() => el.value.focus()),el.value.focus() in setup,setup 中 el.value.focus(),高 | High,https://vuejs.org/api/composition-api-lifecycle.html
17,生命周期 | Lifecycle,Clean up in onUnmounted,在 onUnmounted 中清理,Remove listeners and subscriptions,移除监听器和订阅,onUnmounted for cleanup,清理使用 onUnmounted,Leave listeners attached,留下监听器未移除,onUnmounted(() => window.removeEventListener()),onUnmounted(() => window.removeEventListener()),No cleanup on unmount,卸载时无清理,高 | High,
18,生命周期 | Lifecycle,Avoid onBeforeMount for data,避免在 onBeforeMount 获取数据,Use onMounted or setup for data fetching,数据获取使用 onMounted 或 setup,Fetch in onMounted or setup,在 onMounted 或 setup 中获取,Fetch in onBeforeMount,在 onBeforeMount 中获取,onMounted(async () => await fetchData()),onMounted(async () => await fetchData()),onBeforeMount(async () => await fetchData()),onBeforeMount(async () => await fetchData()),低 | Low,
19,组件 | Components,Use single-file components,使用单文件组件,Keep template script style together,模板、脚本、样式放在一起,.vue files for components,组件使用 .vue 文件,Separate template/script files,分离的模板/脚本文件,Component.vue with all parts,Component.vue 包含所有部分,Component.js + Component.html,Component.js + Component.html,低 | Low,
20,组件 | Components,Use PascalCase for components,组件使用 PascalCase,Consistent component naming,一致的组件命名,PascalCase in imports and templates,导入和模板中使用 PascalCase,kebab-case in script,script 中使用 kebab-case,<MyComponent/>,<MyComponent/>,<my-component/>,<my-component/>,低 | Low,https://vuejs.org/style-guide/rules-strongly-recommended.html
21,组件 | Components,Prefer composition over mixins,优先组合而非 mixins,Composables replace mixins,可组合函数替代 mixins,Composables for shared logic,共享逻辑使用可组合函数,Mixins for code reuse,代码复用使用 mixins,const { data } = useApi(),const { data } = useApi(),mixins: [apiMixin],mixins: [apiMixin],中等 | Medium,
22,可组合函数 | Composables,Name composables with use prefix,可组合函数使用 use 前缀,Convention for composable functions,可组合函数的约定,useFetch useAuth useForm,useFetch useAuth useForm,getData or fetchApi,getData 或 fetchApi,export function useFetch(),export function useFetch(),export function fetchData(),export function fetchData(),中等 | Medium,https://vuejs.org/guide/reusability/composables.html
23,可组合函数 | Composables,Return refs from composables,可组合函数返回 refs,Maintain reactivity when destructuring,解构时保持响应式,Return ref values,返回 ref 值,Return reactive objects that lose reactivity,返回失去响应式的 reactive 对象,return { data: ref(null) },return { data: ref(null) },return reactive({ data: null }),return reactive({ data: null }),中等 | Medium,
24,可组合函数 | Composables,Accept ref or value params,接受 ref 或值参数,Use toValue for flexible inputs,灵活输入使用 toValue,toValue() or unref() for params,参数使用 toValue() 或 unref(),Only accept ref or only value,仅接受 ref 或仅接受值,const val = toValue(maybeRef),const val = toValue(maybeRef),const val = maybeRef.value,const val = maybeRef.value,低 | Low,https://vuejs.org/api/reactivity-utilities.html#tovalue
25,模板 | Templates,Use v-bind shorthand,使用 v-bind 简写,Cleaner template syntax,更简洁的模板语法,:prop instead of v-bind:prop,:prop 而非 v-bind:prop,Full v-bind syntax,完整 v-bind 语法,"<div :class=""cls"">","<div :class=""cls"">","<div v-bind:class=""cls"">","<div v-bind:class=""cls"">",低 | Low,
26,模板 | Templates,Use v-on shorthand,使用 v-on 简写,Cleaner event binding,更简洁的事件绑定,@event instead of v-on:event,@event 而非 v-on:event,Full v-on syntax,完整 v-on 语法,"<button @click=""handler"">","<button @click=""handler"">","<button v-on:click=""handler"">","<button v-on:click=""handler"">",低 | Low,
27,模板 | Templates,Avoid v-if with v-for,避免 v-if 与 v-for 同时使用,v-if has higher priority causes issues,v-if 优先级更高导致问题,Wrap in template or computed filter,包装在 template 中或计算过滤,v-if on same element as v-for,v-if 与 v-for 在同一元素,<template v-for><div v-if>,<template v-for><div v-if>,<div v-for v-if>,<div v-for v-if>,高 | High,https://vuejs.org/style-guide/rules-essential.html#avoid-v-if-with-v-for
28,模板 | Templates,Use key with v-for,v-for 使用 key,Proper list rendering and updates,正确的列表渲染和更新,Unique key for each item,每项使用唯一 key,Index as key for dynamic lists,动态列表使用索引作为 key,"v-for=""item in items"" :key=""item.id""","v-for=""item in items"" :key=""item.id""","v-for=""(item, i) in items"" :key=""i""","v-for=""(item, i) in items"" :key=""i""",高 | High,
29,状态 | State,Use Pinia for global state,全局状态使用 Pinia,Official state management for Vue 3,Vue 3 官方状态管理,Pinia stores for shared state,共享状态使用 Pinia stores,Vuex for new projects,新项目使用 Vuex,const store = useCounterStore(),const store = useCounterStore(),Vuex with mutations,Vuex 配合 mutations,中等 | Medium,https://pinia.vuejs.org/
30,状态 | State,Define stores with defineStore,使用 defineStore 定义 stores,Composition API style stores,组合式 API 风格 stores,Setup stores with defineStore,defineStore 配合 setup stores,Options stores for complex state,复杂状态使用选项式 stores,"defineStore('counter', () => {})","defineStore('counter', () => {})","defineStore('counter', { state })","defineStore('counter', { state })",低 | Low,
31,状态 | State,Use storeToRefs for destructuring,解构使用 storeToRefs,Maintain reactivity when destructuring,解构时保持响应式,storeToRefs(store),使用 storeToRefs(store),Direct destructuring,直接解构,const { count } = storeToRefs(store),const { count } = storeToRefs(store),const { count } = store,const { count } = store,高 | High,https://pinia.vuejs.org/core-concepts/#destructuring-from-a-store
32,路由 | Routing,Use useRouter and useRoute,使用 useRouter 和 useRoute,Composition API router access,组合式 API 路由访问,useRouter() useRoute() in setup,setup 中使用 useRouter() useRoute(),this.$router this.$route,this.$router this.$route,const router = useRouter(),const router = useRouter(),this.$router.push(),this.$router.push(),中等 | Medium,https://router.vuejs.org/guide/advanced/composition-api.html
33,路由 | Routing,Lazy load route components,懒加载路由组件,Code splitting for routes,路由代码分割,() => import() for components,组件使用 () => import(),Static imports for all routes,所有路由静态导入,component: () => import('./Page.vue'),component: () => import('./Page.vue'),component: Page,component: Page,中等 | Medium,https://router.vuejs.org/guide/advanced/lazy-loading.html
34,路由 | Routing,Use navigation guards,使用导航守卫,Protect routes and handle redirects,保护路由和处理重定向,beforeEach for auth checks,认证检查使用 beforeEach,Check auth in each component,每个组件检查认证,router.beforeEach((to) => {}),router.beforeEach((to) => {}),Check auth in onMounted,在 onMounted 中检查认证,中等 | Medium,
35,性能 | Performance,Use v-once for static content,静态内容使用 v-once,Skip re-renders for static elements,跳过静态元素重新渲染,v-once on never-changing content,永不改变的内容使用 v-once,v-once on dynamic content,动态内容使用 v-once,<div v-once>{{ staticText }}</div>,<div v-once>{{ staticText }}</div>,<div v-once>{{ dynamicText }}</div>,<div v-once>{{ dynamicText }}</div>,低 | Low,https://vuejs.org/api/built-in-directives.html#v-once
36,性能 | Performance,Use v-memo for expensive lists,昂贵列表使用 v-memo,Memoize list items,记忆化列表项,v-memo with dependency array,v-memo 配合依赖数组,Re-render entire list always,总是重新渲染整个列表,"<div v-for v-memo=""[item.id]"">","<div v-for v-memo=""[item.id]"">",<div v-for> without memo,<div v-for> 无 memo,中等 | Medium,https://vuejs.org/api/built-in-directives.html#v-memo
37,性能 | Performance,Use shallowReactive for flat objects,扁平对象使用 shallowReactive,Avoid deep reactivity overhead,避免深层响应式开销,shallowReactive for flat state,扁平状态使用 shallowReactive,reactive for simple objects,简单对象使用 reactive,shallowReactive({ count: 0 }),shallowReactive({ count: 0 }),reactive({ count: 0 }),reactive({ count: 0 }),低 | Low,
38,性能 | Performance,Use defineAsyncComponent,使用 defineAsyncComponent,Lazy load heavy components,懒加载重型组件,defineAsyncComponent for modals dialogs,模态框和对话框使用 defineAsyncComponent,Import all components eagerly,急切导入所有组件,defineAsyncComponent(() => import()),defineAsyncComponent(() => import()),import HeavyComponent from,import HeavyComponent from,中等 | Medium,https://vuejs.org/guide/components/async.html
39,TypeScript,Use generic components,使用泛型组件,Type-safe reusable components,类型安全的可重用组件,Generic with defineComponent,defineComponent 配合泛型,Any types in components,组件中使用 any 类型,"<script setup lang=""ts"" generic=""T"">","<script setup lang=""ts"" generic=""T"">",<script setup> without types,<script setup> 无类型,中等 | Medium,https://vuejs.org/guide/typescript/composition-api.html
40,TypeScript,Type template refs,类型化模板 refs,Proper typing for DOM refs,DOM refs 正确类型,ref<HTMLInputElement>(null),ref<HTMLInputElement>(null),ref(null) without type,ref(null) 无类型,const input = ref<HTMLInputElement>(null),const input = ref<HTMLInputElement>(null),const input = ref(null),const input = ref(null),中等 | Medium,
41,TypeScript,Use PropType for complex props,复杂 props 使用 PropType,Type complex prop types,类型化复杂 prop 类型,PropType<User> for object props,对象 props 使用 PropType<User>,Object without type,对象无类型,type: Object as PropType<User>,type: Object as PropType<User>,type: Object,type: Object,中等 | Medium,
42,测试 | Testing,Use Vue Test Utils,使用 Vue Test Utils,Official testing library,官方测试库,mount shallowMount for components,组件使用 mount shallowMount,Manual DOM testing,手动 DOM 测试,import { mount } from '@vue/test-utils',import { mount } from '@vue/test-utils',document.createElement,document.createElement,中等 | Medium,https://test-utils.vuejs.org/
43,测试 | Testing,Test component behavior,测试组件行为,Focus on inputs and outputs,关注输入和输出,Test props emit and rendered output,测试 props、emit 和渲染输出,Test internal implementation,测试内部实现,expect(wrapper.text()).toContain(),expect(wrapper.text()).toContain(),expect(wrapper.vm.internalState),expect(wrapper.vm.internalState),中等 | Medium,
44,表单 | Forms,Use v-model modifiers,使用 v-model 修饰符,Built-in input handling,内置输入处理,.lazy .number .trim modifiers,.lazy .number .trim 修饰符,Manual input parsing,手动输入解析,"<input v-model.number=""age"">","<input v-model.number=""age"">","<input v-model=""age""> then parse","<input v-model=""age""> 然后解析",低 | Low,https://vuejs.org/guide/essentials/forms.html#modifiers
45,表单 | Forms,Use VeeValidate or FormKit,使用 VeeValidate 或 FormKit,Form validation libraries,表单验证库,VeeValidate for complex forms,复杂表单使用 VeeValidate,Manual validation logic,手动验证逻辑,useField useForm from vee-validate,vee-validate 的 useField useForm,Custom validation in each input,每个输入自定义验证,中等 | Medium,
46,无障碍 | Accessibility,Use semantic elements,使用语义化元素,Proper HTML elements in templates,模板中使用正确的 HTML 元素,button nav main for purpose,按用途使用 button nav main,div for everything,所有地方使用 div,<button @click>,<button @click>,<div @click>,<div @click>,高 | High,
47,无障碍 | Accessibility,Bind aria attributes dynamically,动态绑定 aria 属性,Keep ARIA in sync with state,保持 ARIA 与状态同步,":aria-expanded=""isOpen""",":aria-expanded=""isOpen""",Static ARIA values,静态 ARIA 值,":aria-expanded=""menuOpen""",":aria-expanded=""menuOpen""","aria-expanded=""true""","aria-expanded=""true""",中等 | Medium,
48,SSR,Use Nuxt for SSR,SSR 使用 Nuxt,Full-featured SSR framework,全功能 SSR 框架,Nuxt 3 for SSR apps,SSR 应用使用 Nuxt 3,Manual SSR setup,手动 SSR 设置,npx nuxi init my-app,npx nuxi init my-app,Custom SSR configuration,自定义 SSR 配置,中等 | Medium,https://nuxt.com/
49,SSR,Handle hydration mismatches,处理水合不匹配,Client/server content must match,客户端/服务端内容必须匹配,ClientOnly for browser-only content,仅浏览器内容使用 ClientOnly,Different content server/client,服务端/客户端内容不同,<ClientOnly><BrowserWidget/></ClientOnly>,<ClientOnly><BrowserWidget/></ClientOnly>,<div>{{ Date.now() }}</div>,<div>{{ Date.now() }}</div>,高 | High,
